SubjectID,Regularization,Mean,Sigma,5th%,95th%,5th%mean,95th%mean,Min,Max
1018_3x1008_3,bsyn,-0.0170337,0.291052,-0.526843,0.44679,-0.677965,0.587271,-1.34523,1.57917

1018_3x1008_3,syn,-0.00622479,0.250791,-0.442398,0.395266,-0.582786,0.516525,-1.23956,1.06474

1018_3x1009_3,bsyn,-0.0109463,0.295376,-0.518121,0.469803,-0.683819,0.63491,-1.454,1.19818

1018_3x1009_3,syn,-0.00939737,0.275263,-0.475178,0.433848,-0.632387,0.590418,-1.40749,1.15464

1018_3x1010_3,bsyn,0.0457507,0.308047,-0.450735,0.550384,-0.597746,0.691204,-1.38381,1.45333

1018_3x1010_3,syn,0.0509515,0.263401,-0.375177,0.486538,-0.490352,0.608047,-1.03094,1.26634

1018_3x1011_3,bsyn,-0.0610814,0.323504,-0.616298,0.453216,-0.793522,0.642182,-1.50751,1.55661

1018_3x1011_3,syn,-0.0476068,0.278392,-0.527094,0.397415,-0.675575,0.565659,-1.43481,1.52539

1018_3x1012_3,bsyn,-0.0255631,0.297584,-0.517941,0.470017,-0.636307,0.681391,-1.20469,1.45449

1018_3x1012_3,syn,-0.0174637,0.25729,-0.439169,0.412106,-0.55133,0.601093,-1.09432,1.37431

1018_3x1013_3,bsyn,-0.037199,0.310228,-0.576689,0.443614,-0.756592,0.605902,-1.67004,1.60693

1018_3x1013_3,syn,-0.0297385,0.282939,-0.527545,0.40979,-0.68655,0.551307,-1.46961,1.19175

1018_3x1014_3,bsyn,-0.0416173,0.289329,-0.49649,0.457618,-0.661414,0.625011,-1.18,1.4184

1018_3x1014_3,syn,-0.034392,0.262671,-0.443049,0.418438,-0.589591,0.569365,-1.24562,1.37079

1018_3x1015_3,bsyn,-0.0781092,0.313449,-0.608617,0.445849,-0.749734,0.654293,-1.34657,1.27569

1018_3x1015_3,syn,-0.062741,0.263367,-0.5082,0.367335,-0.628607,0.558182,-1.24262,1.14755

1018_3x1017_3,bsyn,-0.0357885,0.312688,-0.580813,0.462273,-0.753601,0.605423,-1.28782,1.27925

1018_3x1017_3,syn,-0.0263024,0.286384,-0.536087,0.4239,-0.688124,0.554759,-1.38525,1.15785

1018_3x1036_3,bsyn,-0.00594632,0.327497,-0.569529,0.50701,-0.740596,0.775051,-1.62035,1.59781

1018_3x1036_3,syn,0.00683111,0.270021,-0.448781,0.438973,-0.588503,0.647639,-1.22135,1.26661

1019_3x1000_3,bsyn,-0.00888405,0.332334,-0.587016,0.497679,-0.824234,0.638821,-1.63452,1.55279

1019_3x1000_3,syn,0.0089525,0.261244,-0.445438,0.415412,-0.617518,0.543008,-1.16749,1.17946

1019_3x1001_3,bsyn,0.109904,0.31916,-0.422,0.627035,-0.648236,0.763016,-1.38043,1.66107

1019_3x1001_3,syn,0.117757,0.275482,-0.343542,0.566027,-0.556043,0.675536,-1.03108,1.42294

1019_3x1002_3,bsyn,-0.0399879,0.339831,-0.646566,0.4648,-0.830761,0.763687,-1.62981,1.51217

1019_3x1002_3,syn,-0.0238139,0.27521,-0.503047,0.398025,-0.679517,0.662487,-1.27033,1.41644

1019_3x1006_3,bsyn,0.0294427,0.337333,-0.550504,0.553562,-0.766165,0.703895,-1.30548,2.07335

1019_3x1006_3,syn,0.0415936,0.2945,-0.465825,0.488139,-0.714373,0.621359,-1.22182,1.93979

1019_3x1007_3,bsyn,0.0258915,0.323597,-0.544768,0.525264,-0.793104,0.669863,-1.49916,1.44126

1019_3x1007_3,syn,0.03695,0.264339,-0.430586,0.441194,-0.652434,0.565466,-1.40575,1.21361

1019_3x1008_3,bsyn,0.0231522,0.303967,-0.518084,0.491979,-0.731557,0.628468,-1.5482,1.30036

1019_3x1008_3,syn,0.0331497,0.262045,-0.429935,0.438497,-0.663384,0.561574,-1.18757,1.21397

1019_3x1009_3,bsyn,0.0212352,0.308453,-0.515158,0.489246,-0.724385,0.627565,-1.32918,1.29161

1019_3x1009_3,syn,0.0257091,0.268729,-0.452301,0.42788,-0.642637,0.54647,-1.2582,1.22867

1019_3x1010_3,bsyn,0.0686777,0.345308,-0.511115,0.615658,-0.726685,0.752564,-1.41134,1.61862

1019_3x1010_3,syn,0.0771771,0.289059,-0.406649,0.549491,-0.584908,0.671362,-1.12014,1.28789

1019_3x1011_3,bsyn,0.0465146,0.330317,-0.517349,0.563438,-0.704529,0.714727,-1.38012,2.02167

1019_3x1011_3,syn,0.0560742,0.290583,-0.431887,0.508006,-0.637744,0.647815,-1.27595,1.87507

1019_3x1012_3,bsyn,0.0240379,0.305512,-0.487743,0.528417,-0.679499,0.69503,-1.4028,1.564

1019_3x1012_3,syn,0.0308116,0.255843,-0.400291,0.449305,-0.582142,0.576658,-1.26621,1.16963

1019_3x1013_3,bsyn,0.0606492,0.320508,-0.467164,0.5814,-0.673746,0.742425,-1.24128,1.74858

1019_3x1013_3,syn,0.0747956,0.266524,-0.371411,0.499945,-0.551481,0.628689,-1.08466,1.61455

1019_3x1014_3,bsyn,0.0133667,0.304491,-0.49817,0.50077,-0.684563,0.63852,-1.32597,1.52409

1019_3x1014_3,syn,0.0241148,0.249497,-0.391507,0.426361,-0.548998,0.547154,-1.29881,1.05265

1019_3x1015_3,bsyn,-0.0368746,0.319221,-0.574073,0.481105,-0.775497,0.666834,-1.41053,1.57342

1019_3x1015_3,syn,-0.0151186,0.234117,-0.410136,0.359313,-0.586405,0.500174,-1.23772,1.02408

1019_3x1017_3,bsyn,0.030489,0.334513,-0.56729,0.526585,-0.767599,0.685076,-1.59641,1.58388

1019_3x1017_3,syn,0.0476945,0.276942,-0.444771,0.472156,-0.658298,0.621427,-1.22924,1.19829

1019_3x1036_3,bsyn,-0.00702422,0.339127,-0.591123,0.523952,-0.801664,0.678014,-1.62771,1.74702

1019_3x1036_3,syn,-0.00134003,0.282119,-0.486813,0.434021,-0.618375,0.552609,-1.13131,1.52764

1023_3x1000_3,bsyn,-0.0174869,0.323468,-0.577777,0.485945,-0.734223,0.669686,-1.37213,1.65014

1023_3x1000_3,syn,-9.26941e-05,0.258396,-0.439396,0.412647,-0.543496,0.580717,-1.02575,1.22856

1023_3x1001_3,bsyn,0.0636824,0.314075,-0.461758,0.582755,-0.627929,0.728924,-1.26987,1.57243

1023_3x1001_3,syn,0.0754797,0.254724,-0.348411,0.497845,-0.49948,0.61346,-1.01635,1.34488

1023_3x1002_3,bsyn,-0.091351,0.316403,-0.64338,0.408267,-0.849855,0.661436,-1.45059,1.26749

1023_3x1002_3,syn,-0.0940051,0.287751,-0.589473,0.366003,-0.768973,0.61513,-1.41669,1.15076

1023_3x1006_3,bsyn,0.000602459,0.326976,-0.565687,0.518197,-0.762245,0.654631,-1.45716,1.73906

1023_3x1006_3,syn,0.0131592,0.289595,-0.475016,0.475314,-0.648441,0.604172,-1.39487,1.4546

1023_3x1007_3,bsyn,-0.00310887,0.298748,-0.505231,0.472598,-0.686855,0.630993,-1.56369,1.47332

1023_3x1007_3,syn,0.00189775,0.273914,-0.461886,0.439559,-0.621635,0.583871,-1.2309,1.44581

1023_3x1008_3,bsyn,0.00358563,0.309149,-0.511298,0.511385,-0.676872,0.664072,-1.2678,1.54623

1023_3x1008_3,syn,0.0159157,0.26728,-0.428527,0.457459,-0.572467,0.590297,-1.19463,1.3624

1023_3x1009_3,bsyn,0.0272649,0.310572,-0.500239,0.520535,-0.664548,0.679981,-1.38175,1.3593

1023_3x1009_3,syn,0.0366342,0.265304,-0.420137,0.457049,-0.573604,0.614023,-1.1791,1.316

1023_3x1010_3,bsyn,0.0787477,0.325137,-0.470967,0.621315,-0.627005,0.758996,-1.2552,1.46933

1023_3x1010_3,syn,0.0838801,0.285259,-0.386412,0.559157,-0.530384,0.684714,-1.06757,1.4128

1023_3x1011_3,bsyn,-0.022306,0.327068,-0.578222,0.507788,-0.738228,0.669649,-1.6584,1.70845

1023_3x1011_3,syn,-0.00903292,0.277103,-0.475982,0.438398,-0.610911,0.582648,-1.39451,1.52287

1023_3x1012_3,bsyn,-0.0256708,0.318992,-0.558697,0.498609,-0.747376,0.710691,-1.44399,1.60082

1023_3x1012_3,syn,-0.0167634,0.271401,-0.459895,0.435313,-0.639376,0.613229,-1.23122,1.30697

1023_3x1013_3,bsyn,0.00430004,0.329921,-0.540328,0.53604,-0.7221,0.714725,-1.49122,1.8229

1023_3x1013_3,syn,0.0148451,0.29437,-0.46921,0.494521,-0.604549,0.664623,-1.25742,1.44574

1023_3x1014_3,bsyn,-0.0187971,0.324034,-0.562086,0.515677,-0.737091,0.680133,-1.26192,1.54313

1023_3x1014_3,syn,-0.00901737,0.293923,-0.491324,0.487492,-0.647892,0.638099,-1.15852,1.21166

1023_3x1015_3,bsyn,-0.0687518,0.311676,-0.597009,0.438278,-0.748232,0.614416,-1.40778,1.5688

1023_3x1015_3,syn,-0.0587158,0.275212,-0.528257,0.385732,-0.666949,0.541766,-1.2042,1.4282

1023_3x1017_3,bsyn,-0.0422691,0.32125,-0.606637,0.436935,-0.813018,0.581395,-1.77449,1.27081

1023_3x1017_3,syn,-0.029355,0.276548,-0.517883,0.392351,-0.699325,0.521143,-1.47675,1.23874

1023_3x1036_3,bsyn,0.0136974,0.320645,-0.523775,0.525352,-0.699024,0.781681,-1.47448,1.71846

1023_3x1036_3,syn,0.0220352,0.256737,-0.405011,0.432191,-0.542078,0.642033,-1.0755,1.5514

1024_3x1000_3,bsyn,-0.103942,0.298856,-0.61411,0.368026,-0.775378,0.553229,-1.52907,1.53638

1024_3x1000_3,syn,-0.0957716,0.275505,-0.565014,0.34193,-0.709649,0.518449,-1.36143,1.28757

1024_3x1001_3,bsyn,-0.00585778,0.316646,-0.53325,0.519106,-0.715821,0.675437,-1.27318,1.71269

1024_3x1001_3,syn,0.00516591,0.275552,-0.450971,0.463748,-0.615356,0.591166,-1.1843,1.33007

1024_3x1002_3,bsyn,-0.162406,0.329134,-0.734825,0.355811,-0.908014,0.636481,-1.65314,1.46656

1024_3x1002_3,syn,-0.135494,0.262237,-0.593282,0.2717,-0.72275,0.521648,-1.41477,1.21279

1024_3x1006_3,bsyn,-0.0679789,0.301407,-0.565419,0.421723,-0.716509,0.55883,-1.33043,1.43092

1024_3x1006_3,syn,-0.0577332,0.275872,-0.519374,0.389326,-0.658521,0.512598,-1.32214,1.26579

1024_3x1007_3,bsyn,-0.0779962,0.317349,-0.617044,0.429039,-0.784605,0.605347,-1.48956,1.58959

1024_3x1007_3,syn,-0.0709576,0.298723,-0.580596,0.405492,-0.739687,0.564442,-1.54339,1.41304

1024_3x1008_3,bsyn,-0.0639763,0.300495,-0.572812,0.430784,-0.718099,0.587615,-1.32498,1.45998

1024_3x1008_3,syn,-0.0533038,0.269035,-0.501834,0.39055,-0.631633,0.524499,-1.21822,1.38085

1024_3x1009_3,bsyn,-0.0706248,0.310137,-0.593185,0.435149,-0.756824,0.586243,-1.49716,1.25015

1024_3x1009_3,syn,-0.0629418,0.28154,-0.541102,0.385771,-0.697203,0.532893,-1.80445,1.12662

1024_3x1010_3,bsyn,-0.0073603,0.34007,-0.577309,0.545306,-0.758026,0.70778,-1.56115,1.71436

1024_3x1010_3,syn,0.00461082,0.292197,-0.479693,0.483102,-0.632662,0.617522,-1.27377,1.40443

1024_3x1011_3,bsyn,-0.116146,0.337886,-0.692611,0.427519,-0.846623,0.598583,-1.72747,1.64559

1024_3x1011_3,syn,-0.0923396,0.26562,-0.53959,0.331017,-0.678946,0.475776,-1.53323,1.45148

1024_3x1012_3,bsyn,-0.0967467,0.316771,-0.625419,0.421728,-0.817254,0.642877,-1.55054,1.55488

1024_3x1012_3,syn,-0.0850277,0.273021,-0.528917,0.362023,-0.692981,0.554455,-1.43712,1.34863

1024_3x1013_3,bsyn,-0.0801431,0.321367,-0.632854,0.435673,-0.803939,0.603177,-1.53927,1.50447

1024_3x1013_3,syn,-0.069262,0.290846,-0.571009,0.394309,-0.722098,0.547066,-1.39313,1.37311

1024_3x1014_3,bsyn,-0.0930333,0.295733,-0.566195,0.414149,-0.716187,0.565592,-1.24303,1.33664

1024_3x1014_3,syn,-0.0858529,0.280298,-0.535791,0.389995,-0.683248,0.523477,-1.22369,1.12909

1024_3x1015_3,bsyn,-0.137414,0.337239,-0.707972,0.406727,-0.905397,0.583642,-1.66432,1.46482

1024_3x1015_3,syn,-0.104083,0.245621,-0.512081,0.304012,-0.618262,0.452695,-1.10012,1.14538

1024_3x1017_3,bsyn,-0.0837176,0.314497,-0.606069,0.417904,-0.805835,0.599418,-1.7972,1.21991

1024_3x1017_3,syn,-0.0743647,0.294049,-0.565366,0.380429,-0.762567,0.558832,-1.73547,1.32117

1024_3x1036_3,bsyn,-0.0750211,0.329293,-0.639413,0.44773,-0.8093,0.724428,-1.59768,1.4092

1024_3x1036_3,syn,-0.0694202,0.300092,-0.576647,0.403029,-0.742126,0.636434,-1.51953,1.30578

1025_3x1000_3,bsyn,-0.0883306,0.370288,-0.717393,0.43379,-0.979782,0.621727,-2.31226,1.30981

1025_3x1000_3,syn,-0.0727616,0.322136,-0.60851,0.380198,-0.836643,0.54406,-2.02384,1.06314

1025_3x1001_3,bsyn,-0.0230788,0.382623,-0.652346,0.55257,-0.891409,0.696035,-2.10037,1.42477

1025_3x1001_3,syn,-0.0113486,0.329279,-0.557811,0.479496,-0.783431,0.604448,-1.72335,1.2268

1025_3x1002_3,bsyn,-0.111391,0.349965,-0.720855,0.40633,-0.898358,0.654691,-1.93942,1.22467

1025_3x1002_3,syn,-0.0995883,0.312942,-0.639015,0.364315,-0.806008,0.604536,-1.71237,1.11443

1025_3x1006_3,bsyn,-0.0469326,0.345247,-0.659996,0.481639,-0.828224,0.600288,-1.51473,1.41438

1025_3x1006_3,syn,-0.0333585,0.30278,-0.572149,0.428135,-0.717145,0.537333,-1.32631,1.31911

1025_3x1007_3,bsyn,-0.082745,0.382103,-0.722918,0.45562,-0.990384,0.615463,-2.29393,1.22347

1025_3x1007_3,syn,-0.070217,0.332747,-0.623348,0.400202,-0.853549,0.541033,-1.99697,1.22407

1025_3x1008_3,bsyn,-0.0631426,0.36224,-0.68976,0.45321,-0.942112,0.584294,-2.06948,1.16909

1025_3x1008_3,syn,-0.0524606,0.324462,-0.601284,0.409994,-0.831683,0.532511,-2.09039,1.13344

1025_3x1009_3,bsyn,-0.0653474,0.367393,-0.693736,0.479979,-0.909326,0.645917,-2.0903,1.50513

1025_3x1009_3,syn,-0.0592967,0.345358,-0.647094,0.450719,-0.84464,0.616629,-1.96696,1.60314

1025_3x1010_3,bsyn,-0.0282859,0.388122,-0.66868,0.566822,-0.866611,0.710883,-2.14656,1.87287

1025_3x1010_3,syn,-0.0157443,0.334248,-0.559412,0.489795,-0.743649,0.625109,-1.86154,1.54692

1025_3x1011_3,bsyn,-0.0793308,0.36458,-0.709957,0.465341,-0.894772,0.647538,-1.78411,1.6286

1025_3x1011_3,syn,-0.0552631,0.284787,-0.549308,0.36743,-0.717756,0.517685,-1.37996,1.11139

1025_3x1012_3,bsyn,-0.0559179,0.374053,-0.67753,0.488158,-0.91271,0.727275,-2.15749,1.35765

1025_3x1012_3,syn,-0.043765,0.321194,-0.570415,0.425209,-0.782756,0.637369,-1.9332,1.25604

1025_3x1013_3,bsyn,-0.0472594,0.339847,-0.641713,0.46861,-0.808282,0.637145,-1.44703,1.35051

1025_3x1013_3,syn,-0.0382025,0.310972,-0.579851,0.428162,-0.734645,0.578406,-1.39627,1.49401

