SubjectID,Regularization,Mean,Sigma,5th%,95th%,5th%mean,95th%mean,Min,Max
S02xS17,syn,0.00445599,0.252286,-0.413324,0.413725,-0.534597,0.532983,-1.23386,1.30759

S02xS18,bsyn,-0.00214231,0.290586,-0.483887,0.464285,-0.627037,0.621515,-1.21874,1.29494

S02xS18,syn,0.011485,0.245524,-0.399847,0.405577,-0.52526,0.537256,-1.20476,1.15775

S02xS19,bsyn,0.0103629,0.324382,-0.528724,0.528348,-0.693358,0.668779,-1.45073,1.38397

S02xS19,syn,0.029492,0.259683,-0.397108,0.452291,-0.540404,0.569501,-1.07927,1.30135

S02xS20,bsyn,-0.0106916,0.285871,-0.485502,0.444712,-0.630482,0.571402,-1.47054,1.44598

S02xS20,syn,0.00375554,0.239721,-0.396155,0.38921,-0.515592,0.493963,-1.13885,1.14011

S02xS21,bsyn,-0.00312491,0.273379,-0.454055,0.449513,-0.569698,0.560153,-1.09616,1.00672

S02xS21,syn,0.00340967,0.238874,-0.390438,0.402286,-0.492226,0.506792,-1.0472,1.10285

S02xS22,bsyn,-0.0740504,0.311627,-0.597275,0.418898,-0.774311,0.552002,-1.65445,1.22138

S02xS22,syn,-0.0560557,0.247898,-0.470725,0.347737,-0.597699,0.46912,-1.18176,1.01609

S02xS23,bsyn,-0.0292358,0.301476,-0.540113,0.456964,-0.683974,0.580289,-1.137,1.17465

S02xS23,syn,-0.014226,0.249311,-0.422027,0.399022,-0.54856,0.513626,-1.1728,1.20884

S02xS24,bsyn,-0.00744511,0.307041,-0.516073,0.493572,-0.671699,0.629015,-1.49737,1.52396

S02xS24,syn,-0.00136594,0.273736,-0.460395,0.437883,-0.60473,0.567796,-1.21674,1.38421

S02xS25,bsyn,0.024129,0.307003,-0.483779,0.520773,-0.629946,0.66986,-1.29802,1.31409

S02xS25,syn,0.0357983,0.264193,-0.403333,0.461955,-0.52531,0.596801,-1.10511,1.18333

S02xS26,bsyn,-0.0314581,0.300055,-0.528547,0.449532,-0.685087,0.575882,-1.56897,1.22764

S02xS26,syn,-0.0128663,0.245322,-0.422187,0.384844,-0.548974,0.486963,-1.17868,1.11297

S02xS27,bsyn,0.00741957,0.300486,-0.479614,0.519163,-0.63618,0.658156,-1.1912,1.2187

S02xS27,syn,0.0185598,0.265466,-0.421625,0.45723,-0.548528,0.57566,-1.13567,1.29376

S02xS28,bsyn,-0.0170787,0.307099,-0.524869,0.489625,-0.688436,0.625486,-1.77319,1.4557

S02xS28,syn,8.07601e-05,0.248434,-0.406402,0.410019,-0.531387,0.533327,-1.20295,1.3162

S02xS29,bsyn,0.00709603,0.295937,-0.490854,0.480014,-0.660625,0.598472,-1.49141,1.21708

S02xS29,syn,0.024586,0.244691,-0.384748,0.420276,-0.519256,0.524926,-1.1998,1.11958

S02xS30,bsyn,-0.0628807,0.296542,-0.558322,0.419764,-0.686815,0.559206,-1.23267,1.23854

S02xS30,syn,-0.0509769,0.261237,-0.485098,0.369362,-0.610247,0.498605,-1.21108,1.19386

S02xS31,bsyn,-0.0072858,0.305787,-0.530306,0.473543,-0.680085,0.586557,-1.49484,1.16766

S02xS31,syn,0.00472558,0.259719,-0.435294,0.413906,-0.57815,0.517733,-1.57714,1.09993

S02xS32,bsyn,-0.0233397,0.306668,-0.546684,0.470108,-0.687432,0.606304,-1.2479,1.33262

S02xS32,syn,-0.0118671,0.26262,-0.461939,0.405616,-0.59636,0.517847,-1.27819,1.03163

S02xS33,bsyn,-0.0101753,0.285292,-0.504254,0.449855,-0.625776,0.562195,-1.17843,1.13094

S02xS33,syn,0.00332017,0.244501,-0.412679,0.398941,-0.521267,0.507716,-0.913493,1.12808

S02xS34,bsyn,0.00213762,0.304284,-0.498695,0.49317,-0.670408,0.616946,-1.50317,1.29103

S02xS34,syn,0.0129443,0.263916,-0.423389,0.437226,-0.588145,0.554294,-1.28685,1.21235

S02xS35,bsyn,-0.0361003,0.290877,-0.522734,0.424846,-0.660767,0.555669,-1.24686,1.33639

S02xS35,syn,-0.0184164,0.238846,-0.408528,0.372723,-0.536133,0.477662,-1.31788,1.10557

S02xS36,bsyn,-0.0182194,0.300533,-0.504131,0.487553,-0.636101,0.62952,-1.26993,1.35216

S02xS36,syn,-0.00636824,0.252714,-0.414942,0.414725,-0.537033,0.550251,-1.20696,1.14126

S02xS37,bsyn,-0.00542083,0.308344,-0.521617,0.485528,-0.688074,0.614604,-1.47417,1.27038

S02xS37,syn,0.0160743,0.233305,-0.373596,0.397569,-0.504589,0.4931,-1.06046,1.01323

S02xS38,bsyn,0.0101522,0.286393,-0.475223,0.469978,-0.603493,0.594058,-1.06474,1.15711

S02xS38,syn,0.0228471,0.253866,-0.397217,0.434144,-0.520117,0.550609,-1.01897,1.08015

S02xS39,bsyn,-0.00791716,0.294342,-0.497224,0.464606,-0.636955,0.597052,-1.10115,1.52138

S02xS39,syn,0.00722105,0.232121,-0.38339,0.386665,-0.505193,0.496421,-1.05014,1.25436

S02xS40,bsyn,-0.00302698,0.294997,-0.503833,0.471514,-0.62648,0.601416,-1.3919,1.36104

S02xS40,syn,0.0107959,0.253182,-0.411795,0.422774,-0.521901,0.541934,-1.32859,1.12681

S03xS01,bsyn,-0.02685,0.319955,-0.556257,0.494934,-0.745051,0.6321,-1.46853,1.34649

S03xS01,syn,-0.0105215,0.275578,-0.47198,0.436769,-0.634475,0.544755,-1.40353,1.08861

S03xS02,bsyn,-0.0310432,0.306976,-0.562983,0.445222,-0.696589,0.579738,-1.31732,1.52041

